product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,device_type,location
Food Delivery,Masala Dosa,Zomato,9079.27,15.94,73.14,916,Debit Card,Successful,Android,Urban
Grocery Shopping,Dairy Milk Chocolate,Grofers,9338.28,45.21,77.82,45,Debit Card,Successful,iOS,Urban
Flight Booking,Chennai to Hyderabad,Yatra,6849.54,1.41,86.43,724,Wallet Balance,Successful,iOS,Urban
Hotel Booking,Suite,Treebo,159.14,17.35,38.91,465,UPI,Successful,Android,Urban
Grocery Shopping,Dairy Milk Chocolate,BigBasket,7968.87,17.18,30.26,90,Bank Transfer,Successful,Android,Urban
Education Fee,Digital Marketing Certification,Unacademy,6252.12,28.62,16.21,578,Credit Card,Successful,Android,Suburban
Gift Card,Rs. 5000 Luxury Card,Shoppers Stop,5576.9,16.53,83.44,480,Debit Card,Successful,iOS,Urban
Education Fee,MBA Entrance Prep,BYJU'S,514.89,19.13,29.64,706,Bank Transfer,Successful,iOS,Urban
Gaming Credits,Legendary Weapon,Free Fire,5697.78,9.12,3.0,341,Credit Card,Successful,iOS,Urban
Electricity Bill,Temporary Connection Bill,Reliance Energy,8661.0,4.07,11.36,556,UPI,Successful,Android,Suburban
Loan Repayment,Personal Loan Payment,HDFC Bank,4067.18,17.27,61.26,475,Debit Card,Successful,Android,Urban
Water Bill,Residential Connection,Hyderabad Water Board,9233.3,45.36,4.22,719,Bank Transfer,Successful,Web,Urban
Rent Payment,Commercial Space Rent,Nestaway,6864.93,3.37,85.1,759,Debit Card,Successful,Android,Urban
Internet Bill,Student Special Plan,ACT Fibernet,3693.72,14.13,89.49,996,UPI,Failed,Android,Suburban
Food Delivery,Masala Dosa,Swiggy,3813.78,24.88,39.22,110,UPI,Successful,Android,Urban
Loan Repayment,Education Loan EMI,Bajaj Finserv,6463.26,24.39,24.09,391,Credit Card,Successful,Android,Suburban
Gaming Credits,Legendary Weapon,Roblox,1336.64,39.51,52.83,355,Bank Transfer,Successful,Android,Suburban
Electricity Bill,Residential Bill,Tata Power,7196.85,7.79,11.54,80,Bank Transfer,Successful,iOS,Urban
Gas Bill,Commercial Gas Connection,Gujarat Gas,7328.23,30.38,52.75,142,Debit Card,Successful,Web,Urban
Bus Ticket,Sleeper Class,MakeMyTrip Bus,9660.11,46.11,76.68,148,UPI,Successful,Android,Suburban
Education Fee,IELTS Training,Vedantu,2528.45,28.92,7.8,782,Bank Transfer,Successful,iOS,Urban
Movie Ticket,Baahubali 2,SPI Cinemas,9931.78,24.22,52.31,791,Bank Transfer,Successful,Android,Urban
Taxi Fare,Airport Transfer,Uber,6392.4,38.84,68.71,975,Debit Card,Successful,Android,Urban
Gaming Credits,Battle Pass,PUBG Mobile,7237.99,29.07,12.69,797,Debit Card,Successful,Android,Suburban
Rent Payment,1BHK Apartment Rent,NoBroker,7510.8,38.66,68.22,863,Debit Card,Successful,Android,Suburban
Online Shopping,Smart LED TV,Nykaa,8670.77,46.9,81.73,14,UPI,Failed,iOS,Rural
Education Fee,Digital Marketing Certification,BYJU'S,7510.8,25.93,11.21,826,Bank Transfer,Successful,Android,Urban
Education Fee,Digital Marketing Certification,Unacademy,458.48,44.53,3.64,211,UPI,Successful,iOS,Urban
Education Fee,IELTS Training,Udemy,9946.68,39.9,3.19,549,UPI,Successful,Web,Urban
Hotel Booking,Service Apartment,Airbnb,9838.46,13.29,68.87,465,Debit Card,Successful,Android,Urban
Streaming Service,Standard Plan,Amazon Prime,9173.81,18.05,67.89,540,Wallet Balance,Successful,iOS,Urban
Insurance Premium,Health Insurance,LIC,786.68,48.24,56.69,379,Debit Card,Successful,Android,Suburban
Education Fee,MBA Entrance Prep,Udemy,973.86,45.93,48.62,777,Bank Transfer,Successful,Android,Urban
Gift Card,Rs. 1000 Shopping Voucher,Flipkart,298.2,38.15,40.93,208,UPI,Pending,Android,Urban
Grocery Shopping,Dairy Milk Chocolate,Grofers,8432.83,9.97,1.15,223,Debit Card,Successful,Android,Urban
Movie Ticket,Avengers: Endgame,SPI Cinemas,229.61,47.93,9.2,495,Bank Transfer,Successful,Android,Urban
Flight Booking,Ahmedabad to Jaipur,Cleartrip,5318.84,10.03,16.86,720,UPI,Successful,Android,Urban
Taxi Fare,Outstation Trip,Ola,4082.4,27.99,82.45,197,Credit Card,Successful,Android,Urban
Water Bill,Residential Connection,Delhi Jal Board,4580.9,27.77,93.28,554,UPI,Successful,Android,Urban
Electricity Bill,Residential Bill,Tata Power,3574.1,37.04,69.73,383,Bank Transfer,Successful,iOS,Urban
Gas Bill,Industrial Gas Supply,Bharat Gas,9007.27,15.79,27.98,556,Bank Transfer,Successful,Android,Urban
Electricity Bill,Industrial Bill,CESC,7559.52,13.29,86.35,630,Debit Card,Successful,iOS,Urban
Internet Bill,Student Special Plan,Hathway,1567.81,24.3,96.69,258,UPI,Successful,Android,Urban
Bus Ticket,AC Seater,RedBus,1950.43,21.73,57.14,721,Debit Card,Successful,iOS,Urban
Gift Card,Rs. 250 Coffee Shop Card,Lifestyle,2397.79,30.54,43.81,213,Wallet Balance,Successful,Android,Urban
Education Fee,Data Science Bootcamp,Udemy,914.97,24.91,81.12,774,Debit Card,Successful,Android,Urban
Mobile Recharge,Postpaid Plan 599,Jio,7089.81,40.47,32.08,634,UPI,Successful,iOS,Urban
Food Delivery,Chilli Paneer,Foodpanda,2720.52,38.58,71.99,696,Bank Transfer,Failed,iOS,Suburban
Water Bill,Industrial Use,Delhi Jal Board,2599.69,8.99,95.51,607,Bank Transfer,Successful,Android,Suburban
Loan Repayment,Business Loan Repayment,Bajaj Finserv,2099.73,30.56,32.16,87,Debit Card,Successful,Android,Urban
Insurance Premium,Home Insurance,Max Life,7765.34,11.61,63.43,954,Credit Card,Successful,iOS,Urban
Water Bill,Residential Connection,Mumbai Water,1795.53,11.42,42.69,622,UPI,Successful,iOS,Urban
Streaming Service,Premium Plan,ZEE5,4181.45,44.35,80.13,224,UPI,Successful,iOS,Urban
Loan Repayment,Personal Loan Payment,SBI,406.26,28.9,58.59,148,UPI,Successful,iOS,Urban
Gaming Credits,Battle Pass,Free Fire,6841.71,39.48,68.42,387,Credit Card,Successful,iOS,Suburban
Electricity Bill,Agricultural Bill,CESC,7832.84,29.97,14.78,293,Credit Card,Successful,iOS,Rural
Water Bill,Commercial Property,Mumbai Water,7525.92,19.67,36.96,530,UPI,Successful,Android,Urban
Taxi Fare,City Ride,Ola,2986.51,22.43,54.61,614,Credit Card,Successful,Android,Urban
Streaming Service,Standard Plan,Netflix,4505.04,23.78,15.79,515,UPI,Successful,Android,Urban
Gas Bill,Auto LPG,Gujarat Gas,138.06,24.98,44.06,183,Wallet Balance,Successful,iOS,Urban
Flight Booking,Ahmedabad to Jaipur,Yatra,2565.64,12.4,47.32,17,Credit Card,Successful,Android,Urban
Food Delivery,Masala Dosa,Domino's,6092.77,31.47,37.11,176,Credit Card,Successful,Android,Urban
Gas Bill,Piped Natural Gas,Mahanagar Gas,2926.12,35.2,15.47,261,Bank Transfer,Successful,Android,Rural
Gas Bill,Domestic LPG Cylinder,Gujarat Gas,1721.93,14.3,11.94,9,UPI,Successful,iOS,Rural
Gas Bill,Domestic LPG Cylinder,Adani Gas,3868.1,3.13,24.91,310,Bank Transfer,Successful,Android,Urban
Education Fee,IELTS Training,Coursera,5411.69,4.65,42.43,676,Bank Transfer,Successful,Android,Urban
Insurance Premium,Term Life Policy,LIC,3047.71,18.76,2.24,897,Credit Card,Successful,Android,Rural
Taxi Fare,Outstation Trip,Uber,153.37,43.41,59.95,515,Credit Card,Successful,Android,Urban
Online Shopping,Laptop Backpack,Amazon,5428.99,48.43,49.52,423,Credit Card,Failed,Android,Urban
Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,185.3,2.05,96.03,245,Bank Transfer,Successful,Android,Suburban
Streaming Service,Basic Plan,Amazon Prime,9572.78,21.39,30.14,545,Wallet Balance,Successful,Android,Urban
Flight Booking,Bangalore to Kolkata,Ixigo,8181.77,39.35,78.6,284,Bank Transfer,Successful,Android,Suburban
Education Fee,MBA Entrance Prep,Unacademy,1890.21,48.02,23.37,453,UPI,Successful,Android,Urban
Gift Card,Rs. 500 E-Gift Card,Shoppers Stop,6944.61,5.54,60.77,338,Debit Card,Successful,Android,Urban
Education Fee,Python Programming Course,Vedantu,1237.45,8.65,38.59,334,Bank Transfer,Successful,Android,Urban
Insurance Premium,Health Insurance,ICICI Prudential,4040.27,40.35,42.61,149,Credit Card,Successful,iOS,Urban
Gaming Credits,Legendary Weapon,Free Fire,9785.35,46.66,27.73,965,Wallet Balance,Successful,Android,Urban
Online Shopping,Steel Toe Shoes,Flipkart,433.1,36.63,96.47,455,Wallet Balance,Successful,iOS,Urban
Movie Ticket,Dangal,INOX,814.34,27.63,61.67,911,UPI,Successful,Android,Urban
Grocery Shopping,Whole Wheat Atta,Amazon Pantry,1271.84,19.11,68.71,896,Credit Card,Successful,Android,Urban
Bus Ticket,AC Seater,Paytm Bus,6090.64,42.4,3.24,721,Debit Card,Successful,Android,Urban
Mobile Recharge,Annual Plan 2999,Vodafone,4800.57,15.55,98.36,876,Debit Card,Successful,Android,Urban
Insurance Premium,Term Life Policy,SBI Life,1563.61,5.89,31.81,426,Credit Card,Successful,Android,Urban
Electricity Bill,Agricultural Bill,Reliance Energy,2444.75,41.21,52.03,426,Wallet Balance,Successful,Web,Rural
Education Fee,Digital Marketing Certification,Coursera,2781.1,37.03,39.37,135,Wallet Balance,Successful,Android,Urban
Flight Booking,Pune to Goa,Cleartrip,2172.44,20.7,58.83,598,Debit Card,Successful,iOS,Rural
Education Fee,Digital Marketing Certification,Udemy,2835.08,0.34,21.8,387,Credit Card,Successful,Android,Urban
Grocery Shopping,Refined Sunflower Oil,Nature's Basket,8300.38,20.89,73.88,137,Wallet Balance,Successful,Android,Urban
Taxi Fare,Rental Package,Rapido,164.45,1.16,18.0,351,UPI,Successful,Android,Rural
Food Delivery,Butter Chicken,Zomato,8184.49,26.35,39.92,284,Bank Transfer,Successful,Android,Urban
Movie Ticket,3 Idiots,PVR Cinemas,6944.49,32.58,56.84,377,Wallet Balance,Successful,Web,Urban
Education Fee,Python Programming Course,Unacademy,3613.09,9.5,31.75,77,Bank Transfer,Successful,Android,Urban
Gas Bill,Auto LPG,Bharat Gas,892.1,29.29,89.88,685,Debit Card,Successful,iOS,Suburban
Electricity Bill,Industrial Bill,Tata Power,105.35,34.93,12.36,502,Credit Card,Successful,iOS,Urban
Loan Repayment,Personal Loan Payment,ICICI Bank,6594.01,48.55,27.34,64,UPI,Successful,Web,Urban
Rent Payment,PG Accommodation,Nestaway,1711.34,33.38,42.53,829,Bank Transfer,Successful,iOS,Suburban
Taxi Fare,City Ride,Jugnoo,6430.5,23.47,65.25,360,Credit Card,Successful,iOS,Rural
Hotel Booking,Service Apartment,Airbnb,9819.47,46.31,92.98,124,UPI,Successful,Android,Suburban
Gift Card,Rs. 5000 Luxury Card,Shoppers Stop,8783.28,7.56,8.44,440,Wallet Balance,Successful,iOS,Urban
Gaming Credits,Legendary Weapon,PUBG Mobile,6015.97,48.07,12.35,66,UPI,Successful,iOS,Suburban
Online Shopping,Laptop Backpack,Nykaa,3735.59,16.43,73.6,982,Debit Card,Successful,Android,Urban
Gift Card,Rs. 500 E-Gift Card,Flipkart,9086.85,15.35,56.53,125,Credit Card,Successful,Android,Rural
Internet Bill,4G Unlimited Plan,Jio Fiber,1494.89,7.51,68.35,642,Debit Card,Successful,Android,Urban
Gift Card,Rs. 1000 Shopping Voucher,Pantaloons,5069.05,36.26,49.98,689,Credit Card,Successful,Android,Urban
Insurance Premium,Travel Insurance,SBI Life,8877.71,18.32,10.87,940,Bank Transfer,Successful,iOS,Rural
Food Delivery,Vegetable Biryani,Uber Eats,1015.66,4.85,58.91,470,Bank Transfer,Successful,Web,Urban
Online Shopping,Wireless Earbuds,Myntra,6102.61,9.57,36.25,188,UPI,Successful,Web,Urban
Insurance Premium,Term Life Policy,Max Life,5129.26,45.09,81.4,941,Credit Card,Successful,Web,Suburban
Gas Bill,Commercial Gas Connection,Gujarat Gas,6573.44,14.22,92.4,729,Bank Transfer,Successful,Android,Urban
Electricity Bill,Temporary Connection Bill,BSES,6466.15,40.39,27.64,257,UPI,Successful,Android,Urban
Water Bill,Tanker Supply,Delhi Jal Board,1563.58,44.79,15.16,712,Bank Transfer,Successful,Android,Rural
Taxi Fare,City Ride,Ola,6365.09,1.13,1.14,244,UPI,Successful,Android,Suburban
Bus Ticket,AC Seater,Paytm Bus,276.98,46.86,25.52,801,Debit Card,Successful,Android,Urban
Gas Bill,Domestic LPG Cylinder,Bharat Gas,9157.01,31.25,34.84,327,Credit Card,Successful,iOS,Suburban
Streaming Service,Standard Plan,Hotstar,5468.22,41.96,82.07,135,UPI,Successful,Web,Urban
Bus Ticket,Semi-Sleeper,Goibibo,4947.91,23.73,74.49,649,Credit Card,Successful,Android,Suburban
Streaming Service,Standard Plan,Amazon Prime,7216.45,37.06,7.09,542,UPI,Successful,iOS,Suburban
Food Delivery,Butter Chicken,Swiggy,399.5,19.13,74.33,738,Credit Card,Successful,Android,Urban
Taxi Fare,Rental Package,Meru,365.87,45.74,75.68,933,Bank Transfer,Successful,iOS,Urban
Grocery Shopping,Refined Sunflower Oil,Amazon Pantry,923.34,15.49,31.92,669,UPI,Successful,Android,Urban
Education Fee,MBA Entrance Prep,Vedantu,4049.12,35.77,52.55,186,UPI,Successful,iOS,Rural
Internet Bill,Student Special Plan,Jio Fiber,7499.97,39.18,7.7,622,UPI,Successful,Android,Urban
Online Shopping,Laptop Backpack,Amazon,1785.23,22.72,39.86,93,UPI,Successful,Android,Urban
Bus Ticket,Semi-Sleeper,MakeMyTrip Bus,4671.72,48.95,31.91,594,Credit Card,Successful,Android,Urban
Loan Repayment,Home Loan EMI,Axis Bank,1988.79,25.96,38.73,556,Bank Transfer,Successful,Android,Urban
Taxi Fare,City Ride,Uber,5536.24,10.4,70.84,869,Debit Card,Successful,iOS,Suburban
Streaming Service,Basic Plan,Netflix,7322.1,21.79,85.25,441,UPI,Successful,Android,Suburban
Gaming Credits,Legendary Weapon,Call of Duty Mobile,1224.97,49.46,92.9,406,Wallet Balance,Successful,iOS,Urban
Food Delivery,Vegetable Biryani,Zomato,2503.71,19.92,64.65,298,Credit Card,Successful,iOS,Urban
Streaming Service,Basic Plan,Hotstar,6089.62,42.99,57.79,280,Debit Card,Successful,iOS,Urban
Electricity Bill,Commercial Bill,Reliance Energy,2259.71,47.48,96.74,39,Debit Card,Successful,iOS,Urban
Hotel Booking,Deluxe Room,Fab Hotels,6863.54,45.37,98.42,617,Debit Card,Successful,Web,Urban
Education Fee,Python Programming Course,Coursera,1639.65,43.28,66.41,313,UPI,Successful,iOS,Urban
Rent Payment,Commercial Space Rent,Airbnb,4446.71,8.38,65.12,457,Credit Card,Successful,Android,Urban
Food Delivery,Vegetable Biryani,Domino's,7976.11,36.86,60.64,571,Debit Card,Successful,Android,Urban
Mobile Recharge,Postpaid Plan 599,Vodafone,5279.0,25.38,71.29,184,Credit Card,Successful,Web,Urban
Bus Ticket,Semi-Sleeper,AbhiBus,1813.84,3.19,74.56,617,UPI,Successful,Android,Urban
Rent Payment,PG Accommodation,NoBroker,7302.81,20.08,85.09,781,Debit Card,Successful,Android,Suburban
Mobile Recharge,Annual Plan 2999,Idea,9056.36,24.72,33.2,487,Debit Card,Successful,Android,Suburban
Food Delivery,Chilli Paneer,Foodpanda,3335.7,46.5,97.69,552,Credit Card,Successful,iOS,Urban
Gift Card,Rs. 500 E-Gift Card,Amazon Pay,6072.82,17.98,8.87,799,Credit Card,Successful,Android,Urban
Insurance Premium,Travel Insurance,ICICI Prudential,1947.86,34.97,5.4,95,Bank Transfer,Successful,Android,Urban
Online Shopping,Wireless Earbuds,Amazon,480.92,9.18,5.23,639,Credit Card,Successful,Android,Suburban
Loan Repayment,Education Loan EMI,SBI,2834.99,15.23,57.16,500,Bank Transfer,Successful,iOS,Urban
Gaming Credits,500 Gems Pack,PUBG Mobile,1794.43,1.45,4.9,567,Wallet Balance,Successful,Android,Urban
Gas Bill,Commercial Gas Connection,Mahanagar Gas,9320.86,48.18,30.4,87,Wallet Balance,Successful,Android,Urban
Water Bill,Commercial Property,Mumbai Water,3694.32,32.27,39.16,652,Bank Transfer,Successful,Android,Suburban
Water Bill,Industrial Use,Delhi Jal Board,8368.02,16.89,37.35,206,Credit Card,Successful,iOS,Suburban
Flight Booking,Delhi to Mumbai,EaseMyTrip,2234.71,5.27,71.27,961,Debit Card,Successful,Android,Urban
Bus Ticket,Sleeper Class,AbhiBus,1659.75,32.25,52.01,734,Bank Transfer,Successful,iOS,Urban
Water Bill,Borewell Charges,Mumbai Water,4196.36,25.73,67.47,480,Wallet Balance,Successful,Android,Urban
Gift Card,Rs. 500 E-Gift Card,Lifestyle,5252.73,22.65,27.01,485,UPI,Successful,iOS,Rural
Loan Repayment,Car Loan Installment,Axis Bank,5188.36,35.39,88.14,710,UPI,Successful,Android,Urban
Gas Bill,Industrial Gas Supply,Indraprastha Gas,9766.84,14.31,41.64,580,Bank Transfer,Successful,Android,Urban
Movie Ticket,3 Idiots,INOX,2057.08,34.75,29.12,778,Debit Card,Successful,iOS,Suburban
Gift Card,Rs. 1000 Shopping Voucher,Amazon Pay,2471.88,47.57,23.53,829,UPI,Successful,Web,Urban
Loan Repayment,Education Loan EMI,HDFC Bank,592.06,28.98,79.73,252,Wallet Balance,Successful,iOS,Urban
Hotel Booking,Deluxe Room,Fab Hotels,8505.08,26.66,54.21,677,Wallet Balance,Successful,Android,Urban
Insurance Premium,Health Insurance,LIC,405.31,8.66,37.06,541,Debit Card,Successful,Android,Urban
Taxi Fare,Outstation Trip,Meru,8719.64,21.31,45.17,838,Credit Card,Successful,Android,Rural
Hotel Booking,Dormitory Bed,Treebo,1004.3,33.95,5.56,478,Debit Card,Successful,iOS,Urban
Electricity Bill,Commercial Bill,CESC,2222.3,42.27,43.07,795,Debit Card,Successful,Android,Urban
Gaming Credits,Legendary Weapon,PUBG Mobile,7413.44,33.83,4.88,715,UPI,Successful,Android,Urban
Loan Repayment,Home Loan EMI,SBI,4088.44,30.53,16.98,330,Credit Card,Successful,Android,Urban
Gift Card,Rs. 1000 Shopping Voucher,Pantaloons,3369.9,45.03,69.53,861,Bank Transfer,Failed,iOS,Urban
Online Shopping,Laptop Backpack,Nykaa,6970.44,38.31,3.97,103,Bank Transfer,Successful,Android,Urban
Mobile Recharge,Data Pack 50GB,Jio,4569.29,2.22,34.17,206,Wallet Balance,Successful,Android,Suburban
Taxi Fare,Rental Package,Meru,186.02,12.4,95.34,701,Debit Card,Successful,Web,Urban
Gas Bill,Piped Natural Gas,Indraprastha Gas,3492.96,2.84,65.13,318,Bank Transfer,Successful,Android,Urban
Streaming Service,Family Subscription,Amazon Prime,7100.96,42.07,1.95,913,Credit Card,Successful,Android,Urban
Education Fee,Python Programming Course,Vedantu,5985.2,17.2,4.7,190,Debit Card,Successful,Android,Urban
Streaming Service,Premium Plan,SonyLIV,5177.58,8.4,39.95,859,Bank Transfer,Successful,iOS,Urban
Rent Payment,Co-working Space,Housing.com,9870.22,48.79,88.92,41,Wallet Balance,Successful,iOS,Urban
Flight Booking,Bangalore to Kolkata,MakeMyTrip,7117.94,9.01,82.07,371,Wallet Balance,Pending,Android,Rural
Online Shopping,Wireless Earbuds,Amazon,900.81,36.89,13.33,960,Bank Transfer,Successful,iOS,Urban
Streaming Service,Family Subscription,Netflix,4670.24,48.23,35.9,492,UPI,Successful,Android,Urban
Gas Bill,Industrial Gas Supply,Indraprastha Gas,9510.92,20.53,35.05,838,Debit Card,Successful,Android,Urban
Bus Ticket,Volvo Multi-Axle,AbhiBus,8795.34,38.36,92.35,468,Bank Transfer,Successful,Android,Urban
Hotel Booking,Suite,MakeMyTrip,6178.35,34.42,84.53,310,Wallet Balance,Successful,Android,Rural
Gift Card,Rs. 1000 Shopping Voucher,Lifestyle,7737.33,15.05,92.57,340,Debit Card,Successful,Web,Urban
Internet Bill,Fiber 100Mbps Plan,Jio Fiber,5095.99,32.5,92.37,273,Debit Card,Successful,Android,Suburban
Grocery Shopping,Whole Wheat Atta,Flipkart Supermart,960.02,3.18,98.8,420,UPI,Failed,iOS,Urban
Movie Ticket,Avengers: Endgame,PVR Cinemas,1893.34,4.61,43.4,62,Wallet Balance,Successful,Android,Urban
Movie Ticket,Avengers: Endgame,Cinepolis,8426.48,2.3,45.79,578,Debit Card,Successful,Android,Urban
Food Delivery,Chilli Paneer,Swiggy,3330.08,37.97,84.96,140,Debit Card,Successful,iOS,Urban
Education Fee,Data Science Bootcamp,Udemy,6101.02,5.67,81.47,433,Debit Card,Successful,Android,Urban
Mobile Recharge,Data Pack 50GB,Jio,8191.44,7.66,11.37,178,Credit Card,Successful,Android,Urban
Grocery Shopping,Refined Sunflower Oil,Flipkart Supermart,1719.71,26.79,41.93,809,Bank Transfer,Successful,Android,Urban
Hotel Booking,Villa,Treebo,5722.38,44.83,97.86,189,Bank Transfer,Successful,iOS,Rural
Taxi Fare,Airport Transfer,Rapido,4977.6,11.67,88.68,763,Bank Transfer,Successful,iOS,Urban
Gift Card,Rs. 250 Coffee Shop Card,Pantaloons,9723.55,19.06,96.45,25,Debit Card,Successful,Web,Suburban
Food Delivery,Butter Chicken,Domino's,617.21,35.07,88.95,38,Wallet Balance,Successful,Android,Urban
Hotel Booking,Service Apartment,OYO Rooms,7203.32,19.47,22.11,596,Credit Card,Successful,Android,Urban
Water Bill,Tanker Supply,Chennai Metro Water,4771.43,31.09,10.72,205,Wallet Balance,Successful,Android,Rural
Gas Bill,Commercial Gas Connection,Mahanagar Gas,4648.68,5.35,33.64,480,Debit Card,Successful,Android,Suburban
Grocery Shopping,Dairy Milk Chocolate,Amazon Pantry,973.64,31.98,32.91,634,Debit Card,Successful,iOS,Urban
Hotel Booking,Villa,Treebo,7429.61,41.61,19.48,999,Credit Card,Successful,Android,Urban
Streaming Service,Basic Plan,ZEE5,9243.47,43.24,61.94,95,Credit Card,Successful,Android,Rural
Education Fee,MBA Entrance Prep,Udemy,2081.05,17.54,10.25,594,Bank Transfer,Successful,Android,Urban
Food Delivery,Pizza Margherita,Foodpanda,1686.64,1.2,49.16,542,Credit Card,Successful,iOS,Urban
Streaming Service,Premium Plan,SonyLIV,2681.88,28.2,16.6,115,UPI,Failed,Android,Urban
Insurance Premium,Home Insurance,ICICI Prudential,5571.11,10.66,83.11,881,Wallet Balance,Failed,iOS,Urban
Streaming Service,Premium Plan,Hotstar,5730.61,43.04,66.63,783,UPI,Successful,Android,Suburban
Mobile Recharge,Family Plan 999,BSNL,9910.97,15.44,56.6,217,Debit Card,Successful,Web,Suburban
Education Fee,Data Science Bootcamp,Unacademy,1435.38,44.14,92.85,409,UPI,Successful,Web,Suburban
Water Bill,Industrial Use,Chennai Metro Water,3181.49,8.97,4.33,207,Bank Transfer,Failed,iOS,Urban
Hotel Booking,Suite,OYO Rooms,3332.63,35.04,96.35,851,Bank Transfer,Successful,Android,Urban
Food Delivery,Vegetable Biryani,Uber Eats,9212.26,30.85,85.6,141,UPI,Successful,Android,Suburban
Internet Bill,Student Special Plan,BSNL Broadband,9786.89,4.3,56.86,603,Wallet Balance,Successful,Android,Urban
Bus Ticket,AC Seater,MakeMyTrip Bus,5559.1,28.81,67.96,476,Debit Card,Successful,Web,Urban
Taxi Fare,Rental Package,Ola,6316.41,40.01,85.28,957,Wallet Balance,Successful,Android,Urban
Water Bill,Commercial Property,Delhi Jal Board,3319.77,42.12,38.49,951,Wallet Balance,Successful,Android,Suburban
Rent Payment,1BHK Apartment Rent,OYO Life,827.42,27.42,63.86,366,Credit Card,Successful,iOS,Urban
Food Delivery,Vegetable Biryani,Zomato,5674.21,14.76,17.3,440,Bank Transfer,Successful,Android,Suburban
Hotel Booking,Deluxe Room,Airbnb,4360.97,7.48,32.23,914,Credit Card,Successful,Android,Urban
Movie Ticket,Dangal,Carnival Cinemas,2865.21,18.91,87.67,431,UPI,Successful,Android,Urban
Flight Booking,Pune to Goa,Yatra,2660.29,32.05,69.14,147,UPI,Successful,Android,Urban
Hotel Booking,Deluxe Room,Airbnb,2518.49,32.93,31.53,459,Debit Card,Successful,Android,Suburban
Bus Ticket,AC Seater,AbhiBus,1597.08,8.06,33.12,94,Credit Card,Successful,Android,Rural
Rent Payment,Commercial Space Rent,Housing.com,5621.02,5.94,82.88,670,UPI,Successful,Android,Urban
Grocery Shopping,Mixed Fruit Jam,Amazon Pantry,8838.76,12.72,81.71,104,UPI,Successful,Android,Urban
Loan Repayment,Home Loan EMI,Axis Bank,8293.67,3.57,48.96,111,Wallet Balance,Successful,iOS,Urban
Gaming Credits,Legendary Weapon,Roblox,407.27,13.53,11.33,263,Bank Transfer,Successful,Android,Suburban
Online Shopping,Wireless Earbuds,Flipkart,1677.87,11.41,88.92,585,Credit Card,Successful,Android,Urban
Insurance Premium,Travel Insurance,ICICI Prudential,5952.14,34.94,42.5,372,Credit Card,Successful,Android,Urban
Hotel Booking,Service Apartment,Airbnb,5704.68,47.19,33.03,140,Bank Transfer,Successful,Web,Urban
Movie Ticket,PK,PVR Cinemas,6545.34,5.62,6.24,506,UPI,Successful,Android,Urban
Flight Booking,Ahmedabad to Jaipur,Cleartrip,2863.25,30.01,27.05,349,Wallet Balance,Successful,Android,Urban
Electricity Bill,Commercial Bill,Reliance Energy,1096.87,20.89,79.51,656,Credit Card,Successful,Web,Suburban
Food Delivery,Vegetable Biryani,Foodpanda,2824.0,39.74,10.35,433,Wallet Balance,Successful,Android,Suburban
Education Fee,Data Science Bootcamp,Udemy,7317.56,9.53,50.35,257,Bank Transfer,Successful,iOS,Urban
Streaming Service,Premium Plan,Amazon Prime,3680.24,9.74,2.17,536,Credit Card,Successful,Android,Suburban
Flight Booking,Bangalore to Kolkata,Ixigo,2480.04,42.84,50.09,839,Credit Card,Successful,Android,Urban
Taxi Fare,Rental Package,Uber,1525.52,45.74,40.58,630,Credit Card,Successful,Android,Urban
Flight Booking,Delhi to Mumbai,Cleartrip,9817.06,33.29,69.04,194,Wallet Balance,Successful,Android,Suburban
Insurance Premium,Motor Insurance,ICICI Prudential,571.39,43.67,6.78,630,Wallet Balance,Successful,Android,Suburban
Taxi Fare,Share Ride,Rapido,6733.09,22.58,29.38,819,UPI,Successful,iOS,Suburban
Flight Booking,Pune to Goa,Yatra,8740.5,44.84,62.67,920,Credit Card,Successful,iOS,Rural
Movie Ticket,3 Idiots,Cinepolis,8357.39,31.08,50.15,310,Credit Card,Failed,Android,Urban
Rent Payment,2BHK Flat Deposit,Nestaway,4027.2,20.53,86.44,907,Bank Transfer,Successful,Android,Urban
Mobile Recharge,Data Pack 50GB,Idea,5568.88,5.64,24.17,561,UPI,Pending,Android,Urban
Bus Ticket,AC Seater,Goibibo,9630.17,0.2,42.01,987,Debit Card,Successful,Android,Suburban
Rent Payment,1BHK Apartment Rent,NoBroker,931.66,47.48,87.99,440,Wallet Balance,Successful,iOS,Urban
Bus Ticket,AC Seater,AbhiBus,8084.03,41.45,38.94,73,Bank Transfer,Successful,Android,Urban
Gaming Credits,Legendary Weapon,Call of Duty Mobile,1004.36,15.94,76.75,824,Debit Card,Successful,iOS,Urban
Online Shopping,Laptop Backpack,Myntra,8971.06,16.97,82.42,911,Debit Card,Successful,iOS,Urban
Insurance Premium,Motor Insurance,LIC,3330.47,28.91,29.1,443,Bank Transfer,Successful,Android,Urban
Movie Ticket,Avengers: Endgame,PVR Cinemas,4603.23,29.74,35.28,951,Bank Transfer,Successful,Android,Rural
Mobile Recharge,Postpaid Plan 599,BSNL,2249.67,31.66,58.02,905,Bank Transfer,Successful,Android,Suburban
